time;GAST;deltaT;deltaTabs
-38000000;19.35897064;-0.429372787;0.429372787
-37000000;18.92784786;-0.43112278;0.43112278
-36000000;18.4943924;-0.433455467;0.433455467
-35000000;18.0761385;-0.418253899;0.418253899
-34000000;17.79590034;-0.280238152;0.280238152
-33000000;17.52928734;-0.266613007;0.266613007
-32000000;17.26312923;-0.266158104;0.266158104
-31000000;16.99301529;-0.270113945;0.270113945
-30000000;16.76155758;-0.23145771;0.23145771
-29000000;16.97273254;0.211174965;0.211174965
-28000000;17.22159672;0.248864174;0.248864174
-27000000;17.46795559;0.246358871;0.246358871
-26000000;17.7188406;0.25088501;0.25088501
-25000000;17.91984558;0.201004982;0.201004982
-24000000;17.6497879;-0.270057678;0.270057678
-23000000;17.33312988;-0.31665802;0.31665802
-22000000;17.01634979;-0.31678009;0.31678009
-21000000;16.69760895;-0.318740845;0.318740845
-20000000;16.43237209;-0.265236855;0.265236855
-19000000;16.65860558;0.226233482;0.226233482
-18000000;16.92809391;0.269488335;0.269488335
-17000000;17.20226669;0.274172783;0.274172783
-16000000;17.47624683;0.273980141;0.273980141
-15000000;17.69355774;0.217310905;0.217310905
-14000000;17.34883499;-0.344722748;0.344722748
-13000000;16.94386768;-0.404967308;0.404967308
-12000000;16.53949547;-0.404372215;0.404372215
-11000000;16.13658619;-0.402909279;0.402909279
-10000000;15.74045944;-0.396126747;0.396126747
-9000000;15.4640708;-0.276388645;0.276388645
-8000000;15.20058441;-0.263486385;0.263486385
-7000000;14.93568087;-0.264903545;0.264903545
-6000000;14.66863394;-0.267046928;0.267046928
-5000000;14.41322756;-0.25540638;0.25540638
-4000000;14.28015137;-0.133076191;0.133076191
-3000000;14.15983486;-0.120316505;0.120316505
-2000000;12.32513714;-1.834697723;1.834697723
-1000000;11.5953722;-0.729764938;0.729764938
0;13.78522491;2.189852715;2.189852715
